Baby	224.9870873786408
Books	247.83781818181814
Cameras	238.84394736842106
CDs	198.14135593220345
Children's Clothing	239.5615126050419
Computers	242.1420512820512
Consumer Electronics	268.62
Crafts	257.9380733944954
DVDs	250.4337606837607
Garden	251.19026548672562
Health and Beauty	227.96930693069308
Men's Clothing	259.25695652173926
Music	264.2822689075628
Pet Supplies	253.3287037037037
Sporting Goods	266.57423076923084
Toys	234.04051282051282
Video Games	259.2814782608697
Women's Clothing	244.11505050505056
